generator,family,seen,n,clean_auc,degraded_auc,drop
DALLE2,diffusion,UNSEEN,151,0.927801,0.802028,0.125773
StyleGAN,gan,UNSEEN,134,0.943293,0.857486,0.085807
ADM,diffusion,trained,135,0.920793,0.887323,0.033470
GLIDE,diffusion,trained,114,0.947627,0.916252,0.031375
StyleGAN2,gan,UNSEEN,128,0.968404,0.937326,0.031079
BigGAN,gan,trained,121,0.972155,0.942288,0.029867
StarGAN,gan,UNSEEN,120,0.960183,0.937662,0.022521
Midjourney,diffusion,trained,132,0.929602,0.909374,0.020229
VQDM,diffusion,trained,120,0.959810,0.940565,0.019245
SD15,diffusion,trained,121,0.959072,0.939933,0.019140
ProGAN,gan,UNSEEN,102,0.975934,0.957792,0.018142
CycleGAN,gan,UNSEEN,135,0.955283,0.938035,0.017248
Wukong,diffusion,trained,125,0.961794,0.945727,0.016067
SD14,diffusion,UNSEEN,117,0.957910,0.944788,0.013122
GauGAN,gan,UNSEEN,124,0.970764,0.959124,0.011640
SDXL,diffusion,UNSEEN,121,0.955434,0.947454,0.007980
