view,kind,rank,image_path,generator,label,pred
clean,false_positive,1,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0002514.jpg,WhichFaceIsReal,0,0.999997
clean,false_positive,2,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0004724.jpg,WhichFaceIsReal,0,0.999997
clean,false_positive,3,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0001868.jpg,WhichFaceIsReal,0,0.999997
clean,false_positive,4,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0003092.jpg,WhichFaceIsReal,0,0.999997
clean,false_positive,5,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0003296.jpg,WhichFaceIsReal,0,0.999996
clean,false_positive,6,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0004962.jpg,WhichFaceIsReal,0,0.999996
clean,false_positive,7,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0006764.jpg,WhichFaceIsReal,0,0.999995
clean,false_positive,8,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0005812.jpg,WhichFaceIsReal,0,0.999995
clean,false_negative,1,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0005550.jpg,DALLE2,1,0.001458
clean,false_negative,2,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\Midjourney\ood_0004570.jpg,Midjourney,1,0.015165
clean,false_negative,3,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\ADM\ood_0000716.jpg,ADM,1,0.022875
clean,false_negative,4,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\Midjourney\ood_0005386.jpg,Midjourney,1,0.048614
clean,false_negative,5,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0001810.jpg,DALLE2,1,0.049819
clean,false_negative,6,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\StyleGAN\ood_0001454.jpg,StyleGAN,1,0.049851
clean,false_negative,7,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\Midjourney\ood_0004026.jpg,Midjourney,1,0.053988
clean,false_negative,8,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\ADM\ood_0000614.jpg,ADM,1,0.065145
chain_heavy,false_positive,1,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0001902.jpg,WhichFaceIsReal,0,1.000000
chain_heavy,false_positive,2,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0006894.jpg,WhichFaceIsReal,0,0.999999
chain_heavy,false_positive,3,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0001868.jpg,WhichFaceIsReal,0,0.999999
chain_heavy,false_positive,4,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0005608.jpg,WhichFaceIsReal,0,0.999998
chain_heavy,false_positive,5,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0001460.jpg,WhichFaceIsReal,0,0.999998
chain_heavy,false_positive,6,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0004316.jpg,WhichFaceIsReal,0,0.999998
chain_heavy,false_positive,7,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0005812.jpg,WhichFaceIsReal,0,0.999998
chain_heavy,false_positive,8,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\WhichFaceIsReal\ood_0003092.jpg,WhichFaceIsReal,0,0.999998
chain_heavy,false_negative,1,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0002626.jpg,DALLE2,1,0.001479
chain_heavy,false_negative,2,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0001062.jpg,DALLE2,1,0.001531
chain_heavy,false_negative,3,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0001300.jpg,DALLE2,1,0.003059
chain_heavy,false_negative,4,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0005550.jpg,DALLE2,1,0.003394
chain_heavy,false_negative,5,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\GLIDE\ood_0005486.jpg,GLIDE,1,0.007135
chain_heavy,false_negative,6,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0005414.jpg,DALLE2,1,0.008031
chain_heavy,false_negative,7,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0002796.jpg,DALLE2,1,0.011090
chain_heavy,false_negative,8,C:\Users\angus\Desktop\tiktoktechjam2026\data\ood\images\DALLE2\ood_0008248.jpg,DALLE2,1,0.012355
