view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.997912,0.983500,0.982250,0.977000,0.010000
jpeg_q90,single,jpeg(q=90),0.997128,0.976000,0.974750,0.965000,0.013000
jpeg_q70,single,jpeg(q=70),0.996651,0.972000,0.973000,0.976500,0.032500
jpeg_q50,single,jpeg(q=50),0.994500,0.959250,0.956000,0.930500,0.012000
jpeg_q30,single,jpeg(q=30),0.984430,0.868500,0.860500,0.740000,0.003000
blur_sigma0.5,single,blur(sigma=0.5),0.997474,0.981250,0.980750,0.979000,0.016500
blur_sigma1.0,single,blur(sigma=1.0),0.991348,0.965750,0.965000,0.961500,0.030000
blur_sigma2.0,single,blur(sigma=2.0),0.967469,0.896750,0.902500,0.939000,0.145500
resize_0.5x,single,resize(scale=0.5),0.986769,0.958250,0.959250,0.953000,0.036500
resize_0.25x,single,resize(scale=0.25),0.961637,0.899750,0.901000,0.909000,0.109500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.966854,0.899000,0.905250,0.925000,0.127000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.941143,0.871750,0.875000,0.876500,0.133000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.877673,0.797500,0.794500,0.771000,0.176000
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.996821,0.978250,0.978000,0.969500,0.013000
center_crop_80,single,center_crop(frac=0.8),0.997119,0.977500,0.976000,0.971000,0.016000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.987626,0.947500,0.945500,0.934000,0.039000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.949710,0.856000,0.850250,0.736000,0.024000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.878134,0.770750,0.756500,0.606000,0.064500
