view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.995033,0.973750,0.970500,0.966500,0.019000
jpeg_q90,single,jpeg(q=90),0.992965,0.963000,0.964500,0.943000,0.017000
jpeg_q70,single,jpeg(q=70),0.991947,0.960500,0.959500,0.958000,0.037000
jpeg_q50,single,jpeg(q=50),0.984752,0.938750,0.942000,0.899500,0.022000
jpeg_q30,single,jpeg(q=30),0.961877,0.828500,0.838000,0.662500,0.005500
blur_sigma0.5,single,blur(sigma=0.5),0.993795,0.970000,0.968000,0.966000,0.026000
blur_sigma1.0,single,blur(sigma=1.0),0.985695,0.957500,0.954750,0.944500,0.029500
blur_sigma2.0,single,blur(sigma=2.0),0.960035,0.886250,0.868500,0.930000,0.157500
resize_0.5x,single,resize(scale=0.5),0.978056,0.952750,0.947500,0.931000,0.025500
resize_0.25x,single,resize(scale=0.25),0.953962,0.896750,0.904250,0.848500,0.055000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.954031,0.873750,0.859500,0.921000,0.173500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.927367,0.862000,0.859750,0.837000,0.113000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.859474,0.781500,0.779750,0.745500,0.182500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.992741,0.966500,0.966750,0.957500,0.024500
center_crop_80,single,center_crop(frac=0.8),0.994267,0.968000,0.969500,0.951500,0.015500
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.977815,0.935750,0.937250,0.904000,0.032500
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.925717,0.820750,0.833000,0.656000,0.014500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.827439,0.716750,0.727500,0.468000,0.034500
