view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.994878,0.972500,0.971000,0.956500,0.011500
jpeg_q90,single,jpeg(q=90),0.993448,0.963500,0.967000,0.939000,0.012000
jpeg_q70,single,jpeg(q=70),0.992220,0.961500,0.960250,0.945000,0.022000
jpeg_q50,single,jpeg(q=50),0.985770,0.943250,0.946750,0.904000,0.017500
jpeg_q30,single,jpeg(q=30),0.965138,0.841750,0.867000,0.686500,0.003000
blur_sigma0.5,single,blur(sigma=0.5),0.993742,0.969000,0.967250,0.954500,0.016500
blur_sigma1.0,single,blur(sigma=1.0),0.984641,0.957500,0.954250,0.936000,0.021000
blur_sigma2.0,single,blur(sigma=2.0),0.957983,0.904250,0.890250,0.896500,0.088000
resize_0.5x,single,resize(scale=0.5),0.978092,0.952750,0.948500,0.924000,0.018500
resize_0.25x,single,resize(scale=0.25),0.953923,0.887250,0.897250,0.813500,0.039000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.954243,0.892500,0.872500,0.899000,0.114000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.925515,0.851500,0.858500,0.773000,0.070000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.858539,0.774500,0.781250,0.667500,0.118500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.992681,0.964000,0.964750,0.943500,0.015500
center_crop_80,single,center_crop(frac=0.8),0.994015,0.963500,0.967750,0.936000,0.009000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.977970,0.937000,0.939000,0.897000,0.023000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.930502,0.830000,0.852000,0.675000,0.015000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.846345,0.749000,0.767250,0.542500,0.044500
