view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.998023,0.981750,0.981750,0.978500,0.015000
jpeg_q90,single,jpeg(q=90),0.996810,0.971000,0.970250,0.957000,0.015000
jpeg_q70,single,jpeg(q=70),0.996487,0.971250,0.971250,0.977500,0.035000
jpeg_q50,single,jpeg(q=50),0.993501,0.947500,0.942000,0.904500,0.009500
jpeg_q30,single,jpeg(q=30),0.982265,0.829750,0.819250,0.661000,0.001500
blur_sigma0.5,single,blur(sigma=0.5),0.997346,0.980250,0.980500,0.977000,0.016500
blur_sigma1.0,single,blur(sigma=1.0),0.992587,0.964000,0.965250,0.957500,0.029500
blur_sigma2.0,single,blur(sigma=2.0),0.969826,0.870750,0.882500,0.961000,0.219500
resize_0.5x,single,resize(scale=0.5),0.988060,0.959500,0.959250,0.944000,0.025000
resize_0.25x,single,resize(scale=0.25),0.959091,0.897250,0.897500,0.886500,0.092000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.966675,0.887750,0.895000,0.935500,0.160000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.940336,0.869000,0.874000,0.870500,0.132500
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.868815,0.783250,0.778500,0.758000,0.191500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.996884,0.977750,0.977000,0.971500,0.016000
center_crop_80,single,center_crop(frac=0.8),0.997101,0.976500,0.975000,0.969000,0.016000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.987297,0.940750,0.939250,0.917500,0.036000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.939401,0.808750,0.796250,0.626500,0.009000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.857035,0.711500,0.696500,0.445000,0.022000
