view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.997851,0.981750,0.981000,0.973000,0.009500
jpeg_q90,single,jpeg(q=90),0.997079,0.972000,0.972500,0.953500,0.009500
jpeg_q70,single,jpeg(q=70),0.996641,0.974000,0.973500,0.975000,0.027000
jpeg_q50,single,jpeg(q=50),0.994292,0.956500,0.956500,0.922000,0.009000
jpeg_q30,single,jpeg(q=30),0.984951,0.859250,0.862000,0.720000,0.001500
blur_sigma0.5,single,blur(sigma=0.5),0.997272,0.978750,0.978500,0.971500,0.014000
blur_sigma1.0,single,blur(sigma=1.0),0.991308,0.963500,0.962750,0.951500,0.024500
blur_sigma2.0,single,blur(sigma=2.0),0.968802,0.904500,0.902000,0.942500,0.133500
resize_0.5x,single,resize(scale=0.5),0.986697,0.957500,0.957750,0.943000,0.028000
resize_0.25x,single,resize(scale=0.25),0.960575,0.898000,0.899250,0.893500,0.097500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.968762,0.906000,0.902500,0.933500,0.121500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.942227,0.878000,0.876250,0.852000,0.096000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.870889,0.789000,0.789250,0.739500,0.161500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.996698,0.976500,0.976750,0.966000,0.013000
center_crop_80,single,center_crop(frac=0.8),0.997195,0.975500,0.975250,0.964000,0.013000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.987260,0.944250,0.943750,0.918500,0.030000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.951265,0.841000,0.842250,0.696500,0.014500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.878845,0.752250,0.757250,0.553000,0.048500
