view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.998171,0.982000,0.982000,0.973000,0.009000
jpeg_q90,single,jpeg(q=90),0.997766,0.978750,0.978750,0.978000,0.020500
jpeg_q70,single,jpeg(q=70),0.997058,0.974250,0.974500,0.974500,0.026000
jpeg_q50,single,jpeg(q=50),0.995641,0.969750,0.969750,0.972000,0.032500
jpeg_q30,single,jpeg(q=30),0.989844,0.953000,0.953000,0.942000,0.036000
blur_sigma0.5,single,blur(sigma=0.5),0.997592,0.980750,0.980750,0.977500,0.016000
blur_sigma1.0,single,blur(sigma=1.0),0.990905,0.964000,0.964250,0.950000,0.022000
blur_sigma2.0,single,blur(sigma=2.0),0.973676,0.926000,0.926750,0.915500,0.063500
resize_0.5x,single,resize(scale=0.5),0.987114,0.958250,0.958250,0.946500,0.030000
resize_0.25x,single,resize(scale=0.25),0.966016,0.914750,0.914750,0.909500,0.080000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.972461,0.919000,0.918500,0.908500,0.070500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.948988,0.883250,0.882750,0.868000,0.101500
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.889497,0.807000,0.806750,0.761000,0.147000
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.997229,0.977000,0.977000,0.964000,0.010000
center_crop_80,single,center_crop(frac=0.8),0.997126,0.977000,0.977000,0.965500,0.011500
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.987100,0.943500,0.943750,0.922500,0.035500
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.955532,0.893250,0.893000,0.868500,0.082000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.887766,0.771750,0.771500,0.904000,0.360500
