view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.993972,0.964250,0.961750,0.949000,0.020500
jpeg_q90,single,jpeg(q=90),0.991674,0.950250,0.953000,0.927000,0.026500
jpeg_q70,single,jpeg(q=70),0.988420,0.942500,0.929750,0.954000,0.069000
jpeg_q50,single,jpeg(q=50),0.984350,0.937000,0.938000,0.903000,0.029000
jpeg_q30,single,jpeg(q=30),0.974415,0.885500,0.904500,0.782000,0.011000
blur_sigma0.5,single,blur(sigma=0.5),0.993666,0.965750,0.959750,0.954000,0.022500
blur_sigma1.0,single,blur(sigma=1.0),0.982615,0.936000,0.925750,0.922000,0.050000
blur_sigma2.0,single,blur(sigma=2.0),0.952033,0.877750,0.849000,0.899500,0.144000
resize_0.5x,single,resize(scale=0.5),0.978416,0.929250,0.912500,0.924000,0.065500
resize_0.25x,single,resize(scale=0.25),0.941461,0.872500,0.866250,0.853500,0.108500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.947193,0.876000,0.859000,0.869500,0.117500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.924921,0.846000,0.840500,0.803500,0.111500
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.873979,0.788000,0.785750,0.734500,0.158500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.992088,0.955250,0.957500,0.936000,0.025500
center_crop_80,single,center_crop(frac=0.8),0.991060,0.954500,0.953250,0.931000,0.022000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.973948,0.906500,0.890250,0.929000,0.116000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.930893,0.853250,0.860250,0.758000,0.051500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.860302,0.774250,0.773000,0.730500,0.182000
