view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.962393,0.943750,0.940500,0.962000,0.074500
jpeg_q90,single,jpeg(q=90),0.946720,0.918500,0.922500,0.918000,0.081000
jpeg_q70,single,jpeg(q=70),0.946825,0.909250,0.893250,0.971000,0.152500
jpeg_q50,single,jpeg(q=50),0.939082,0.891750,0.907000,0.857000,0.073500
jpeg_q30,single,jpeg(q=30),0.926127,0.793750,0.828250,0.648000,0.060500
blur_sigma0.5,single,blur(sigma=0.5),0.960612,0.944000,0.939000,0.962500,0.074500
blur_sigma1.0,single,blur(sigma=1.0),0.943016,0.920500,0.918500,0.921500,0.080500
blur_sigma2.0,single,blur(sigma=2.0),0.926786,0.879750,0.842250,0.919500,0.160000
resize_0.5x,single,resize(scale=0.5),0.942824,0.917500,0.913750,0.917000,0.082000
resize_0.25x,single,resize(scale=0.25),0.917046,0.857000,0.864000,0.807000,0.093000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.923256,0.868750,0.852250,0.887000,0.149500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.903948,0.822500,0.830250,0.780500,0.135500
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.859422,0.760750,0.770500,0.654000,0.132500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.959117,0.937000,0.936500,0.947500,0.073500
center_crop_80,single,center_crop(frac=0.8),0.951407,0.931250,0.929500,0.935000,0.072500
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.929440,0.890250,0.877250,0.934500,0.154000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.878634,0.736500,0.779500,0.542000,0.069000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.805050,0.613000,0.670000,0.309500,0.083500
