view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.959144,0.942500,0.939250,0.964000,0.079000
jpeg_q90,single,jpeg(q=90),0.946839,0.926500,0.924250,0.939500,0.086500
jpeg_q70,single,jpeg(q=70),0.944050,0.909000,0.899750,0.974500,0.156500
jpeg_q50,single,jpeg(q=50),0.937564,0.903000,0.907750,0.894000,0.088000
jpeg_q30,single,jpeg(q=30),0.926307,0.836750,0.852250,0.737500,0.064000
blur_sigma0.5,single,blur(sigma=0.5),0.958325,0.941000,0.937500,0.969000,0.087000
blur_sigma1.0,single,blur(sigma=1.0),0.940280,0.915000,0.910250,0.937500,0.107500
blur_sigma2.0,single,blur(sigma=2.0),0.920410,0.853750,0.838250,0.931000,0.223500
resize_0.5x,single,resize(scale=0.5),0.940252,0.912250,0.903750,0.937000,0.112500
resize_0.25x,single,resize(scale=0.25),0.912528,0.861000,0.858750,0.858500,0.136500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.916575,0.857250,0.849250,0.903500,0.189000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.894927,0.822000,0.825750,0.825000,0.181000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.849772,0.762750,0.759250,0.746500,0.221000
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.955963,0.934500,0.934500,0.951500,0.082500
center_crop_80,single,center_crop(frac=0.8),0.949608,0.930750,0.927750,0.944500,0.083000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.926563,0.885250,0.880000,0.946500,0.176000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.883425,0.794750,0.806250,0.682000,0.092500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.807870,0.713000,0.732750,0.569000,0.143000
