view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.996143,0.972000,0.971750,0.966000,0.022000
jpeg_q90,single,jpeg(q=90),0.991767,0.951500,0.952000,0.931500,0.028500
jpeg_q70,single,jpeg(q=70),0.990455,0.943500,0.941750,0.966000,0.079000
jpeg_q50,single,jpeg(q=50),0.989246,0.942250,0.945250,0.907500,0.023000
jpeg_q30,single,jpeg(q=30),0.978642,0.861750,0.868750,0.729500,0.006000
blur_sigma0.5,single,blur(sigma=0.5),0.995582,0.969750,0.969500,0.966500,0.027000
blur_sigma1.0,single,blur(sigma=1.0),0.988559,0.955000,0.951750,0.942500,0.032500
blur_sigma2.0,single,blur(sigma=2.0),0.958663,0.878750,0.872250,0.926500,0.169000
resize_0.5x,single,resize(scale=0.5),0.982654,0.948250,0.946500,0.932500,0.036000
resize_0.25x,single,resize(scale=0.25),0.943734,0.880750,0.879000,0.854500,0.093000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.947843,0.873000,0.864750,0.897500,0.151500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.922788,0.844750,0.845500,0.803500,0.114000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.861620,0.766250,0.771500,0.668000,0.135500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.994656,0.965750,0.965500,0.956000,0.024500
center_crop_80,single,center_crop(frac=0.8),0.993984,0.962500,0.964000,0.948500,0.023500
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.979237,0.923250,0.924250,0.926500,0.080000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.934581,0.832500,0.840250,0.692500,0.027500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.866536,0.748500,0.756750,0.561500,0.064500
