view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.974157,0.948750,0.947500,0.974000,0.076500
jpeg_q90,single,jpeg(q=90),0.962975,0.931750,0.932000,0.940500,0.077000
jpeg_q70,single,jpeg(q=70),0.963017,0.921500,0.922500,0.973500,0.130500
jpeg_q50,single,jpeg(q=50),0.956509,0.918000,0.915250,0.908000,0.072000
jpeg_q30,single,jpeg(q=30),0.939238,0.836750,0.831500,0.734000,0.060500
blur_sigma0.5,single,blur(sigma=0.5),0.972532,0.948750,0.949500,0.975500,0.078000
blur_sigma1.0,single,blur(sigma=1.0),0.953981,0.928000,0.927000,0.947000,0.091000
blur_sigma2.0,single,blur(sigma=2.0),0.926426,0.836000,0.841250,0.944500,0.272500
resize_0.5x,single,resize(scale=0.5),0.951280,0.919500,0.918250,0.930500,0.091500
resize_0.25x,single,resize(scale=0.25),0.917949,0.856250,0.856250,0.862000,0.149500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.920630,0.849500,0.853000,0.895000,0.196000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.898106,0.819750,0.819750,0.823000,0.183500
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.853751,0.769500,0.763750,0.710500,0.171500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.970652,0.944000,0.944750,0.960500,0.072500
center_crop_80,single,center_crop(frac=0.8),0.963453,0.937000,0.936750,0.950500,0.076500
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.944483,0.906750,0.904750,0.942500,0.129000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.892401,0.805500,0.799500,0.696500,0.085500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.811812,0.719500,0.711500,0.568500,0.129500
