view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.953184,0.935750,0.935250,0.959500,0.088000
jpeg_q90,single,jpeg(q=90),0.944629,0.926250,0.926250,0.946500,0.094000
jpeg_q70,single,jpeg(q=70),0.939308,0.907000,0.906500,0.969000,0.155000
jpeg_q50,single,jpeg(q=50),0.932795,0.903500,0.903750,0.920000,0.113000
jpeg_q30,single,jpeg(q=30),0.922264,0.868000,0.869250,0.813000,0.077000
blur_sigma0.5,single,blur(sigma=0.5),0.952647,0.936000,0.935750,0.966500,0.094500
blur_sigma1.0,single,blur(sigma=1.0),0.934400,0.900750,0.900750,0.937500,0.136000
blur_sigma2.0,single,blur(sigma=2.0),0.910538,0.836500,0.835250,0.926000,0.253000
resize_0.5x,single,resize(scale=0.5),0.934952,0.894250,0.891250,0.938000,0.149500
resize_0.25x,single,resize(scale=0.25),0.902658,0.848000,0.847500,0.882000,0.186000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.903801,0.843000,0.841250,0.906000,0.220000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.885838,0.815750,0.817750,0.847000,0.215500
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.848006,0.762250,0.761750,0.803500,0.279000
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.949591,0.929250,0.929750,0.951000,0.092500
center_crop_80,single,center_crop(frac=0.8),0.945100,0.924250,0.924500,0.942500,0.094000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.922731,0.871500,0.870250,0.950000,0.207000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.882845,0.831500,0.830750,0.802000,0.139000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.809875,0.754750,0.754500,0.801000,0.291500
