view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.968943,0.949500,0.949000,0.967500,0.068500
jpeg_q90,single,jpeg(q=90),0.957697,0.930250,0.932500,0.931000,0.070500
jpeg_q70,single,jpeg(q=70),0.957480,0.925250,0.919250,0.968000,0.117500
jpeg_q50,single,jpeg(q=50),0.949807,0.905500,0.918000,0.879000,0.068000
jpeg_q30,single,jpeg(q=30),0.935006,0.805500,0.827000,0.668500,0.057500
blur_sigma0.5,single,blur(sigma=0.5),0.966878,0.949750,0.950250,0.969500,0.070000
blur_sigma1.0,single,blur(sigma=1.0),0.947811,0.922750,0.923250,0.929500,0.084000
blur_sigma2.0,single,blur(sigma=2.0),0.930106,0.864500,0.845000,0.931000,0.202000
resize_0.5x,single,resize(scale=0.5),0.948073,0.922500,0.920750,0.928500,0.083500
resize_0.25x,single,resize(scale=0.25),0.920734,0.863750,0.862500,0.845500,0.118000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.926710,0.870750,0.867250,0.888500,0.147000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.910429,0.826250,0.838500,0.767500,0.115000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.872119,0.773000,0.781500,0.652500,0.106500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.965500,0.943500,0.943750,0.956000,0.069000
center_crop_80,single,center_crop(frac=0.8),0.959755,0.935000,0.939000,0.941000,0.071000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.938272,0.902750,0.897250,0.932500,0.127000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.892135,0.780750,0.801500,0.626500,0.065000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.815626,0.649250,0.680500,0.371000,0.072500
