view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.969426,0.949000,0.948500,0.963500,0.065500
jpeg_q90,single,jpeg(q=90),0.958139,0.927250,0.933000,0.923500,0.069000
jpeg_q70,single,jpeg(q=70),0.957845,0.927000,0.918250,0.964000,0.110000
jpeg_q50,single,jpeg(q=50),0.950042,0.897500,0.919500,0.859500,0.064500
jpeg_q30,single,jpeg(q=30),0.935364,0.799750,0.834000,0.657000,0.057500
blur_sigma0.5,single,blur(sigma=0.5),0.967435,0.947000,0.949750,0.961500,0.067500
blur_sigma1.0,single,blur(sigma=1.0),0.948266,0.924000,0.921500,0.925000,0.077000
blur_sigma2.0,single,blur(sigma=2.0),0.930495,0.871750,0.838000,0.922500,0.179000
resize_0.5x,single,resize(scale=0.5),0.948500,0.921750,0.917000,0.921000,0.077500
resize_0.25x,single,resize(scale=0.25),0.921255,0.861750,0.862000,0.835000,0.111500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.927325,0.872250,0.861750,0.879500,0.135000
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.910938,0.822750,0.837000,0.749000,0.103500
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.872465,0.768250,0.784750,0.632000,0.095500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.966078,0.942000,0.942750,0.948500,0.064500
center_crop_80,single,center_crop(frac=0.8),0.960381,0.932250,0.937500,0.933500,0.069000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.938512,0.903250,0.895500,0.925500,0.119000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.892468,0.770000,0.807250,0.602500,0.062500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.817311,0.642500,0.698250,0.355000,0.070000
