view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.997772,0.980750,0.979750,0.972000,0.010500
jpeg_q90,single,jpeg(q=90),0.996595,0.968250,0.967500,0.952500,0.016000
jpeg_q70,single,jpeg(q=70),0.996076,0.967250,0.968500,0.966500,0.032000
jpeg_q50,single,jpeg(q=50),0.994082,0.949250,0.946000,0.907000,0.008500
jpeg_q30,single,jpeg(q=30),0.983924,0.842000,0.835000,0.685000,0.001000
blur_sigma0.5,single,blur(sigma=0.5),0.996834,0.975750,0.976250,0.968500,0.017000
blur_sigma1.0,single,blur(sigma=1.0),0.989935,0.964750,0.964000,0.952000,0.022500
blur_sigma2.0,single,blur(sigma=2.0),0.964973,0.883500,0.889250,0.950500,0.183500
resize_0.5x,single,resize(scale=0.5),0.984113,0.955000,0.956000,0.941500,0.031500
resize_0.25x,single,resize(scale=0.25),0.955924,0.893250,0.895750,0.897000,0.110500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.963813,0.900250,0.905250,0.928000,0.127500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.934585,0.866250,0.866750,0.845500,0.113000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.861918,0.777750,0.778000,0.734000,0.178500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.996466,0.973000,0.972250,0.964000,0.018000
center_crop_80,single,center_crop(frac=0.8),0.997193,0.976000,0.976000,0.966500,0.014500
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.985945,0.944750,0.945000,0.926500,0.037000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.945592,0.832500,0.827250,0.681500,0.016500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.868355,0.731500,0.724750,0.495500,0.032500
