view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.920917,0.851750,0.849500,0.861500,0.158000
jpeg_q90,single,jpeg(q=90),0.914545,0.843500,0.844250,0.851500,0.164500
jpeg_q70,single,jpeg(q=70),0.896313,0.823500,0.823500,0.813000,0.166000
jpeg_q50,single,jpeg(q=50),0.887605,0.815250,0.812750,0.792000,0.161500
jpeg_q30,single,jpeg(q=30),0.874313,0.799000,0.799000,0.771500,0.173500
blur_sigma0.5,single,blur(sigma=0.5),0.921744,0.851750,0.852250,0.860500,0.157000
blur_sigma1.0,single,blur(sigma=1.0),0.919742,0.848000,0.847500,0.857000,0.161000
blur_sigma2.0,single,blur(sigma=2.0),0.913169,0.842500,0.840500,0.872500,0.187500
resize_0.5x,single,resize(scale=0.5),0.911488,0.839500,0.839500,0.856000,0.177000
resize_0.25x,single,resize(scale=0.25),0.875335,0.783750,0.781250,0.860500,0.293000
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.892785,0.801250,0.805750,0.738000,0.135500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.871240,0.782000,0.784250,0.704000,0.140000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.840576,0.753000,0.755750,0.680500,0.174500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.920454,0.851500,0.848250,0.865500,0.162500
center_crop_80,single,center_crop(frac=0.8),0.913806,0.838750,0.837500,0.823500,0.146000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.882742,0.808750,0.807250,0.815500,0.198000
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.861236,0.779250,0.780250,0.773000,0.214500
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.796508,0.711500,0.711750,0.821500,0.398500
