view,kind,spec,auc,bacc_at_fixed_threshold,bacc_at_0.5,tpr,fpr
clean,single,clean,0.930704,0.887500,0.879250,0.923000,0.148000
jpeg_q90,single,jpeg(q=90),0.923510,0.838500,0.821000,0.962500,0.285500
jpeg_q70,single,jpeg(q=70),0.925824,0.834750,0.817750,0.967500,0.298000
jpeg_q50,single,jpeg(q=50),0.916021,0.857250,0.834750,0.965000,0.250500
jpeg_q30,single,jpeg(q=30),0.897179,0.838750,0.819250,0.937500,0.260000
blur_sigma0.5,single,blur(sigma=0.5),0.927821,0.888500,0.868500,0.920000,0.143000
blur_sigma1.0,single,blur(sigma=1.0),0.908668,0.862750,0.849000,0.882500,0.157000
blur_sigma2.0,single,blur(sigma=2.0),0.851838,0.759750,0.713250,0.918000,0.398500
resize_0.5x,single,resize(scale=0.5),0.894800,0.848750,0.832500,0.879000,0.181500
resize_0.25x,single,resize(scale=0.25),0.846884,0.791250,0.781750,0.817000,0.234500
noise_sigma0.02,single,noise(sigma=0.02)|stochastic,0.875587,0.816750,0.810750,0.806000,0.172500
noise_sigma0.05,single,noise(sigma=0.05)|stochastic,0.817144,0.736000,0.754500,0.651000,0.179000
noise_sigma0.1,single,noise(sigma=0.1)|stochastic,0.728829,0.652500,0.678250,0.520500,0.215500
color_jitter,single,color_jitter(strength=0.2)|stochastic,0.920818,0.873500,0.859750,0.918500,0.171500
center_crop_80,single,center_crop(frac=0.8),0.899275,0.833750,0.839250,0.850500,0.183000
chain_light,chain,chain[resize(scale=0.5)>jpeg(q=70)],0.884250,0.788500,0.780750,0.963500,0.386500
chain_medium,chain,chain[center_crop(frac=0.8)>color_jitter(strength=0.2)>resize(scale=0.5)>jpeg(q=50)]|stochastic,0.811134,0.568500,0.611250,0.197000,0.060000
chain_heavy,chain,chain[blur(sigma=1.0)>resize(scale=0.25)>pil_noise(sigma=0.05)>jpeg(q=30)]|stochastic,0.796747,0.747250,0.738500,0.938000,0.443500
