view,kind,trained,tier,auc
clean,single,True,ood,0.998171
jpeg_q90,single,True,ood,0.997766
jpeg_q70,single,True,ood,0.997058
jpeg_q50,single,True,ood,0.995641
jpeg_q30,single,True,ood,0.989844
blur_sigma0.5,single,True,ood,0.997592
blur_sigma1.0,single,True,ood,0.990905
blur_sigma2.0,single,True,ood,0.973676
resize_0.5x,single,True,ood,0.987114
resize_0.25x,single,True,ood,0.966016
noise_sigma0.02,single,True,ood,0.972461
noise_sigma0.05,single,True,ood,0.948988
noise_sigma0.1,single,True,ood,0.889497
color_jitter,single,True,ood,0.997229
center_crop_80,single,True,ood,0.997126
chain_light,chain,False,ood,0.9871
chain_medium,chain,False,ood,0.955532
chain_heavy,chain,False,ood,0.887766
clean,single,True,wildrf,0.996926
jpeg_q90,single,True,wildrf,0.997283
jpeg_q70,single,True,wildrf,0.996169
jpeg_q50,single,True,wildrf,0.996017
jpeg_q30,single,True,wildrf,0.995671
blur_sigma0.5,single,True,wildrf,0.997063
blur_sigma1.0,single,True,wildrf,0.997051
blur_sigma2.0,single,True,wildrf,0.993525
resize_0.5x,single,True,wildrf,0.996886
resize_0.25x,single,True,wildrf,0.992682
noise_sigma0.02,single,True,wildrf,0.989565
noise_sigma0.05,single,True,wildrf,0.964362
noise_sigma0.1,single,True,wildrf,0.927251
color_jitter,single,True,wildrf,0.996603
center_crop_80,single,True,wildrf,0.996672
chain_light,chain,False,wildrf,0.994732
chain_medium,chain,False,wildrf,0.983268
chain_heavy,chain,False,wildrf,0.972783
clean,single,True,demo_val,0.999924
jpeg_q90,single,True,demo_val,0.999976
jpeg_q70,single,True,demo_val,0.999865
jpeg_q50,single,True,demo_val,0.999937
jpeg_q30,single,True,demo_val,0.999906
blur_sigma0.5,single,True,demo_val,0.999896
blur_sigma1.0,single,True,demo_val,0.99967
blur_sigma2.0,single,True,demo_val,0.99861
resize_0.5x,single,True,demo_val,0.999617
resize_0.25x,single,True,demo_val,0.997987
noise_sigma0.02,single,True,demo_val,0.99705
noise_sigma0.05,single,True,demo_val,0.984938
noise_sigma0.1,single,True,demo_val,0.964109
color_jitter,single,True,demo_val,0.999872
center_crop_80,single,True,demo_val,0.999944
chain_light,chain,False,demo_val,0.999799
chain_medium,chain,False,demo_val,0.997916
chain_heavy,chain,False,demo_val,0.993239
clean,single,True,dalle3,0.998753
jpeg_q90,single,True,dalle3,0.999291
jpeg_q70,single,True,dalle3,0.999119
jpeg_q50,single,True,dalle3,0.998803
jpeg_q30,single,True,dalle3,0.998789
blur_sigma0.5,single,True,dalle3,0.998524
blur_sigma1.0,single,True,dalle3,0.998075
blur_sigma2.0,single,True,dalle3,0.994379
resize_0.5x,single,True,dalle3,0.997928
resize_0.25x,single,True,dalle3,0.992668
noise_sigma0.02,single,True,dalle3,0.992449
noise_sigma0.05,single,True,dalle3,0.971484
noise_sigma0.1,single,True,dalle3,0.941092
color_jitter,single,True,dalle3,0.998666
center_crop_80,single,True,dalle3,0.998344
chain_light,chain,False,dalle3,0.998155
chain_medium,chain,False,dalle3,0.9928
chain_heavy,chain,False,dalle3,0.988564
