tier,condition,n_views,auc,bacc_at_threshold,worst_view
ood,clean,1,0.998171,0.949,
ood,transformed_mean,17,0.97243,0.854221,
ood,transformed_single_mean,14,0.978637,,
ood,transformed_chained_mean,3,0.943466,,
ood,transformed_worst,1,0.887766,0.742,chain_heavy
demo_val,clean,1,0.999924,0.989,
demo_val,transformed_mean,17,0.996019,0.962794,
demo_val,transformed_single_mean,14,0.995813,,
demo_val,transformed_chained_mean,3,0.996985,,
demo_val,transformed_worst,1,0.964109,0.808,noise_sigma0.1
wildrf,clean,1,0.996926,0.979623,
wildrf,transformed_mean,17,0.987505,0.951807,
wildrf,transformed_single_mean,14,0.988343,,
wildrf,transformed_chained_mean,3,0.983594,,
wildrf,transformed_worst,1,0.927251,0.804307,noise_sigma0.1
dalle3,clean,1,0.998753,0.98401,
dalle3,transformed_mean,17,0.991714,0.964121,
dalle3,transformed_single_mean,14,0.991401,,
dalle3,transformed_chained_mean,3,0.993173,,
dalle3,transformed_worst,1,0.941092,0.853806,noise_sigma0.1
