threshold,fpr,tpr,f1
0.5,0.194884,0.995687,0.909131
0.505,0.193125,0.995687,0.909861
0.51,0.192006,0.995687,0.910326
0.515,0.190088,0.995687,0.911124
0.52,0.188169,0.995687,0.911924
0.525,0.186411,0.995687,0.912658
0.53,0.185292,0.995687,0.913126
0.535,0.184173,0.995687,0.913595
0.54,0.182254,0.995687,0.914399
0.545,0.180496,0.995687,0.915137
0.55,0.177618,0.995687,0.916348
0.555,0.175859,0.995687,0.91709
0.56,0.174101,0.995527,0.917753
0.565,0.172182,0.995527,0.918564
0.57,0.170743,0.995527,0.919174
0.575,0.169944,0.995527,0.919513
0.58,0.168185,0.995527,0.92026
0.585,0.165947,0.995527,0.921212
0.59,0.164668,0.995527,0.921757
0.595,0.16259,0.995527,0.922644
0.6,0.160352,0.995527,0.923601
0.605,0.158753,0.995367,0.924206
0.61,0.156515,0.995208,0.925087
0.615,0.155396,0.995208,0.925568
0.62,0.154117,0.995048,0.926039
0.625,0.153157,0.995048,0.926452
0.63,0.151878,0.995048,0.927003
0.635,0.14996,0.995048,0.927832
0.64,0.148361,0.995048,0.928524
0.645,0.146283,0.995048,0.929424
0.65,0.143885,0.995048,0.930465
0.655,0.141807,0.995048,0.93137
0.66,0.140368,0.995048,0.931997
0.665,0.138609,0.995048,0.932764
0.67,0.136691,0.994888,0.933523
0.675,0.133973,0.994888,0.934714
0.68,0.132374,0.994888,0.935416
0.685,0.130616,0.994569,0.936029
0.69,0.128857,0.994569,0.936804
0.695,0.127418,0.994569,0.937439
0.7,0.125819,0.994569,0.938145
0.705,0.123741,0.994569,0.939065
0.71,0.121823,0.994409,0.939835
0.715,0.119904,0.994249,0.940608
0.72,0.118305,0.994249,0.941319
0.725,0.117506,0.994089,0.941595
0.73,0.115588,0.99393,0.94237
0.735,0.114788,0.99361,0.942567
0.74,0.113349,0.99361,0.94321
0.745,0.11239,0.99361,0.94364
0.75,0.111271,0.99361,0.944141
0.755,0.108873,0.99361,0.945217
0.76,0.107434,0.99345,0.945784
0.765,0.106475,0.99345,0.946215
0.77,0.104077,0.99345,0.947296
0.775,0.102798,0.993291,0.947794
0.78,0.100879,0.992812,0.948421
0.785,0.099281,0.992812,0.949145
0.79,0.097362,0.992812,0.950015
0.795,0.095923,0.992812,0.950669
0.8,0.094484,0.992652,0.951244
0.805,0.093205,0.992652,0.951827
0.81,0.091607,0.992332,0.952396
0.815,0.089688,0.992332,0.953272
0.82,0.088889,0.992173,0.953558
0.825,0.086331,0.992173,0.954731
0.83,0.083293,0.992173,0.956127
0.835,0.081535,0.992173,0.956937
0.84,0.080735,0.992173,0.957306
0.845,0.078657,0.992173,0.958266
0.85,0.077858,0.991853,0.958475
0.855,0.07562,0.991853,0.959512
0.86,0.07498,0.991853,0.959808
0.865,0.073861,0.991534,0.960167
0.87,0.072102,0.991534,0.960985
0.875,0.070504,0.991214,0.961568
0.88,0.069065,0.991214,0.962239
0.885,0.067466,0.990895,0.962825
0.89,0.065228,0.990735,0.963792
0.895,0.063309,0.990415,0.96453
0.9,0.060432,0.990415,0.965883
0.905,0.058353,0.990256,0.966781
0.91,0.055795,0.990096,0.967908
0.915,0.054516,0.989457,0.968191
0.92,0.052758,0.989137,0.968862
0.925,0.051319,0.988498,0.969222
0.93,0.04956,0.988179,0.969897
0.935,0.046683,0.988179,0.971267
0.94,0.045404,0.987859,0.971716
0.945,0.043965,0.98738,0.972161
0.95,0.042366,0.986422,0.972441
0.955,0.039968,0.985623,0.973186
0.96,0.03725,0.984665,0.974006
0.965,0.034532,0.984026,0.974992
0.97,0.030855,0.983546,0.976527
0.975,0.027818,0.982428,0.977432
0.98,0.02446,0.979393,0.977519
0.985,0.020304,0.975719,0.977671
0.99,0.016307,0.970607,0.977006
0.995,0.009912,0.959904,0.974617
