step,epoch,batch_loss,running_mean,trailing_mean
1,1,0.835308,0.835308,0.835308
2,1,0.892195,0.863751,0.863751
3,1,0.839429,0.855644,0.855644
4,1,0.801402,0.842084,0.842084
5,1,0.767926,0.827252,0.827252
6,1,0.71117,0.807905,0.807905
7,1,0.686782,0.790602,0.790602
8,1,0.654062,0.773534,0.773534
9,1,0.596169,0.753827,0.753827
10,1,0.638052,0.742249,0.742249
11,1,0.591993,0.72859,0.72859
12,1,0.603171,0.718138,0.718138
13,1,0.529671,0.703641,0.703641
14,1,0.579433,0.694769,0.694769
15,1,0.49431,0.681405,0.681405
16,1,0.480942,0.668876,0.668876
17,1,0.499584,0.658918,0.658918
18,1,0.516598,0.651011,0.651011
19,1,0.457777,0.640841,0.640841
20,1,0.397486,0.628673,0.628673
21,1,0.467712,0.621008,0.621008
22,1,0.414335,0.611614,0.611614
23,1,0.469473,0.605434,0.605434
24,1,0.451496,0.59902,0.59902
25,1,0.43781,0.592571,0.592571
26,1,0.405761,0.585386,0.585386
27,1,0.376257,0.577641,0.577641
28,1,0.43889,0.572685,0.572685
29,1,0.412377,0.567158,0.567158
30,1,0.370166,0.560591,0.560591
31,1,0.342585,0.553559,0.553559
32,1,0.390738,0.548471,0.548471
33,1,0.319296,0.541526,0.541526
34,1,0.336062,0.535483,0.535483
35,1,0.382821,0.531121,0.531121
36,1,0.33749,0.525742,0.525742
37,1,0.345791,0.520879,0.520879
38,1,0.360315,0.516654,0.516654
39,1,0.336034,0.512022,0.512022
40,1,0.336064,0.507623,0.507623
41,1,0.319147,0.503026,0.503026
42,1,0.359684,0.499613,0.499613
43,1,0.278909,0.494481,0.494481
44,1,0.28466,0.489712,0.489712
45,1,0.302955,0.485562,0.485562
46,1,0.306185,0.481662,0.481662
47,1,0.307849,0.477964,0.477964
48,1,0.329606,0.474873,0.474873
49,1,0.291725,0.471136,0.471136
50,1,0.368153,0.469076,0.469076
51,1,0.29997,0.46576,0.46576
52,1,0.265753,0.461914,0.461914
53,1,0.319397,0.459225,0.459225
54,1,0.383173,0.457817,0.457817
55,1,0.292429,0.45481,0.45481
56,1,0.308995,0.452206,0.452206
57,1,0.246189,0.448591,0.448591
58,1,0.285791,0.445785,0.445785
59,1,0.328189,0.443791,0.443791
60,1,0.292925,0.441277,0.441277
61,1,0.327353,0.439409,0.439409
62,1,0.290515,0.437008,0.437008
63,1,0.251591,0.434065,0.434065
64,1,0.286705,0.431762,0.431762
65,1,0.300305,0.42974,0.42974
66,1,0.253927,0.427076,0.427076
67,1,0.314315,0.425393,0.425393
68,1,0.345508,0.424218,0.424218
69,1,0.26489,0.421909,0.421909
70,1,0.262963,0.419638,0.419638
71,1,0.261073,0.417405,0.417405
72,1,0.245583,0.415019,0.415019
